date,category,product,price,currency,source_url
2021-10-28,vga_avg,GeForce RTX 3060,686.58,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-10-29,vga_avg,GeForce RTX 3060,687.58,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-10-30,vga_avg,GeForce RTX 3060,699.46,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-10-31,vga_avg,GeForce RTX 3060,699.47,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-01,vga_avg,GeForce RTX 3060,699.97,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-02,vga_avg,GeForce RTX 3060,685.93,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-03,vga_avg,GeForce RTX 3060,700.12,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-04,vga_avg,GeForce RTX 3060,706.70,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-05,vga_avg,GeForce RTX 3060,691.88,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-06,vga_avg,GeForce RTX 3060,718.47,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-07,vga_avg,GeForce RTX 3060,712.98,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-08,vga_avg,GeForce RTX 3060,692.21,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-09,vga_avg,GeForce RTX 3060,756.78,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-10,vga_avg,GeForce RTX 3060,760.44,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-11,vga_avg,GeForce RTX 3060,761.23,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-12,vga_avg,GeForce RTX 3060,795.76,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-13,vga_avg,GeForce RTX 3060,774.99,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-14,vga_avg,GeForce RTX 3060,759.18,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-15,vga_avg,GeForce RTX 3060,760.53,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-16,vga_avg,GeForce RTX 3060,771.53,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-17,vga_avg,GeForce RTX 3060,778.49,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-18,vga_avg,GeForce RTX 3060,798.48,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-19,vga_avg,GeForce RTX 3060,800.34,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-20,vga_avg,GeForce RTX 3060,812.27,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-21,vga_avg,GeForce RTX 3060,817.83,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-22,vga_avg,GeForce RTX 3060,829.69,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-23,vga_avg,GeForce RTX 3060,833.97,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-24,vga_avg,GeForce RTX 3060,805.07,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-25,vga_avg,GeForce RTX 3060,808.02,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-26,vga_avg,GeForce RTX 3060,806.54,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-27,vga_avg,GeForce RTX 3060,828.31,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-28,vga_avg,GeForce RTX 3060,831.05,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-29,vga_avg,GeForce RTX 3060,820.08,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-11-30,vga_avg,GeForce RTX 3060,830.25,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-01,vga_avg,GeForce RTX 3060,838.63,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-02,vga_avg,GeForce RTX 3060,892.48,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-03,vga_avg,GeForce RTX 3060,868.83,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-04,vga_avg,GeForce RTX 3060,901.77,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-05,vga_avg,GeForce RTX 3060,893.32,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-06,vga_avg,GeForce RTX 3060,875.22,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-07,vga_avg,GeForce RTX 3060,870.87,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-08,vga_avg,GeForce RTX 3060,897.56,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-09,vga_avg,GeForce RTX 3060,874.06,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-10,vga_avg,GeForce RTX 3060,869.83,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-11,vga_avg,GeForce RTX 3060,877.24,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-12,vga_avg,GeForce RTX 3060,879.74,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-13,vga_avg,GeForce RTX 3060,880.21,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-14,vga_avg,GeForce RTX 3060,862.68,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-15,vga_avg,GeForce RTX 3060,857.48,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-16,vga_avg,GeForce RTX 3060,859.37,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-17,vga_avg,GeForce RTX 3060,863.60,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-18,vga_avg,GeForce RTX 3060,851.89,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-19,vga_avg,GeForce RTX 3060,845.50,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-20,vga_avg,GeForce RTX 3060,862.65,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-21,vga_avg,GeForce RTX 3060,860.63,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-22,vga_avg,GeForce RTX 3060,851.76,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-23,vga_avg,GeForce RTX 3060,847.79,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-24,vga_avg,GeForce RTX 3060,853.47,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-25,vga_avg,GeForce RTX 3060,948.95,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-26,vga_avg,GeForce RTX 3060,947.28,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-27,vga_avg,GeForce RTX 3060,936.44,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-28,vga_avg,GeForce RTX 3060,850.03,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-29,vga_avg,GeForce RTX 3060,856.94,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-30,vga_avg,GeForce RTX 3060,976.92,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2021-12-31,vga_avg,GeForce RTX 3060,976.24,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-01,vga_avg,GeForce RTX 3060,959.61,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-02,vga_avg,GeForce RTX 3060,958.94,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-03,vga_avg,GeForce RTX 3060,959.03,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-04,vga_avg,GeForce RTX 3060,958.60,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-05,vga_avg,GeForce RTX 3060,970.34,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-06,vga_avg,GeForce RTX 3060,970.36,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-07,vga_avg,GeForce RTX 3060,931.00,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-08,vga_avg,GeForce RTX 3060,923.44,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-09,vga_avg,GeForce RTX 3060,933.36,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-10,vga_avg,GeForce RTX 3060,928.50,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-11,vga_avg,GeForce RTX 3060,939.45,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-12,vga_avg,GeForce RTX 3060,937.76,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-13,vga_avg,GeForce RTX 3060,937.34,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-14,vga_avg,GeForce RTX 3060,933.83,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-15,vga_avg,GeForce RTX 3060,924.20,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-16,vga_avg,GeForce RTX 3060,920.38,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-17,vga_avg,GeForce RTX 3060,896.89,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-18,vga_avg,GeForce RTX 3060,912.34,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-19,vga_avg,GeForce RTX 3060,895.44,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-20,vga_avg,GeForce RTX 3060,903.36,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-21,vga_avg,GeForce RTX 3060,889.61,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-22,vga_avg,GeForce RTX 3060,891.19,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-23,vga_avg,GeForce RTX 3060,890.50,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-24,vga_avg,GeForce RTX 3060,890.37,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-25,vga_avg,GeForce RTX 3060,893.48,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-26,vga_avg,GeForce RTX 3060,888.92,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-27,vga_avg,GeForce RTX 3060,898.19,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-28,vga_avg,GeForce RTX 3060,895.50,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-29,vga_avg,GeForce RTX 3060,882.22,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-30,vga_avg,GeForce RTX 3060,885.03,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-01-31,vga_avg,GeForce RTX 3060,885.41,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-01,vga_avg,GeForce RTX 3060,882.64,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-02,vga_avg,GeForce RTX 3060,879.80,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-03,vga_avg,GeForce RTX 3060,880.02,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-04,vga_avg,GeForce RTX 3060,894.20,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-05,vga_avg,GeForce RTX 3060,892.16,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-06,vga_avg,GeForce RTX 3060,891.48,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-07,vga_avg,GeForce RTX 3060,880.95,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-08,vga_avg,GeForce RTX 3060,873.60,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-09,vga_avg,GeForce RTX 3060,879.98,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-10,vga_avg,GeForce RTX 3060,879.32,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-11,vga_avg,GeForce RTX 3060,871.91,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-12,vga_avg,GeForce RTX 3060,875.44,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-13,vga_avg,GeForce RTX 3060,879.70,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-14,vga_avg,GeForce RTX 3060,854.76,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-15,vga_avg,GeForce RTX 3060,865.57,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-16,vga_avg,GeForce RTX 3060,850.68,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-17,vga_avg,GeForce RTX 3060,853.28,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-18,vga_avg,GeForce RTX 3060,818.54,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-19,vga_avg,GeForce RTX 3060,854.73,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-20,vga_avg,GeForce RTX 3060,857.16,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-21,vga_avg,GeForce RTX 3060,859.15,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-22,vga_avg,GeForce RTX 3060,859.99,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-23,vga_avg,GeForce RTX 3060,837.38,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-24,vga_avg,GeForce RTX 3060,850.02,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-25,vga_avg,GeForce RTX 3060,870.91,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-26,vga_avg,GeForce RTX 3060,860.26,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-27,vga_avg,GeForce RTX 3060,861.39,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-02-28,vga_avg,GeForce RTX 3060,863.50,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-01,vga_avg,GeForce RTX 3060,840.78,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
2022-03-02,vga_avg,GeForce RTX 3060,836.42,USD,https://pangoly.com/en/price-trends/vga/rtx-3060
